"","time","lat","long","site.name","Fagus","Alnus","Picea","Quercus","legendvalues"
"85",-19500,48.775602,13.865165,"Plešné jezero",0,0.0576036866359447,0.167785234899329,0,10
"86",-19500,56.76882,38.77603,"Plesheevo Lake",0,11.7283950617284,3.08641975308642,0,50
"87",-19500,57.183333,39.451389,"Lake Nero",0,2.37388724035608,3.26409495548961,0,100
"88",-19500,62.331455,10.398245,"Lake Flåfattjønna",0,4.52261306532663,0.251256281407035,0,10
"89",-19000,35.533333,46.116667,"Lake Zeribar",0,0,0,0.266246318114875,50
"90",-19000,35.683333,36.3,"Ghab",0,0,0,25.5623721881391,100
"91",-19000,36.619722,-4.496389,"Bajondillo",0,1.16959064327485,0,0,10
"92",-19000,36.9975,29.898333,"Sögüt Gölü",0,0,0,11.7518248175182,50
"93",-19000,38.425,30.8,"Kararmik Batakligi",0,0.0651041666666667,0.0651041666666667,1.10677083333333,100
"94",-19000,38.483333,23.066667,"Kopais",0,0.515463917525773,0,7.21649484536082,10
"95",-19000,39.7625,20.730556,"Ioannina I",0,0.242522231204527,0,4.04203718674212,50
"96",-19000,40.433889,29.533056,"Lake Iznik",0,0,0.0673400673400673,0.606060606060606,100
"97",-19000,40.578333,-10.348333,"MD95-2039",0,0,0,0,10
"98",-19000,40.931235,15.605185,"Lago Grande di Monticchio",1.25905797101449,0.36911231884058,0,64.1383605072464,50
"99",-19000,41.983333,24.333333,"Kupena",0,0,0,0,100
"100",-19000,42.133333,2.75,"Banyoles",0,0,0,1.73913043478261,10
"101",-19000,42.63045,26.780139,"Straldzha mire",0,0,0,0.191433357262503,50
"102",-19000,42.692778,3.841667,"MD99-2348 (103)",0.243192554027658,0.934391871163446,3.67214271446989,2.6033788507877,100
"103",-19000,42.987535,10.89235,"Lago dell'Accesa",0,0.0947867298578199,0,0,10
"104",-19000,44.9166666666667,3.78333333333333,"Lac du Bouchet",0,0.0511247443762781,0.122549019607843,0,50
"105",-19000,45.05339,7.391,"Lago Piccolo di Avigliana",0,0,0,1.78571428571429,100
"106",-19000,46.05152,8.94329,"Lago di Origlio",0,2.27683806662666,0.828580874452434,1.14244679462071,10
"107",-19000,46.633333,7.3925,"Chutti Boltigen",0,0,0,0,50
"108",-19000,47.0213888888889,7.48380555555556,"Moossee",0,0.826446280991736,0.826446280991736,0,100
"109",-19000,47.075556,8.325556,"Rotsee",0,3.24074074074074,3.24074074074074,0,10
"110",-19000,48.34053,20.430665,"Nagy-Mohos",0,0.112930547713156,0,0.564652738565782,50
"111",-19000,48.444444,-0.191667,"Le Fourneau",0.307307401812689,12.4070052870091,0,10.541918429003,100
"112",-19000,48.775602,13.865165,"Plešné jezero",0,0,0,0,10
"113",-19000,57.183333,39.451389,"Lake Nero",0,3.2719836400818,4.08997955010225,0.613496932515337,50
"114",-19000,62.331455,10.398245,"Lake Flåfattjønna",0,5.09218612818262,0,0.351185250219491,100
"115",-18500,35.533333,46.116667,"Lake Zeribar",0,0,0,0.487431745434005,10
"116",-18500,36.143333,-2.621111,"MD95-2043",0,0,0,0.636942675159236,50
"117",-18500,36.619722,-4.496389,"Bajondillo",0,0,0,1.51128375878653,100
"118",-18500,36.9975,29.898333,"Sögüt Gölü",0,0,0,16.6857142857143,10
"119",-18500,37.1166666666667,29.5986111111111,"Gölhisar Gölü",0,0.225733634311512,0,0.90293453724605,50
"120",-18500,38.425,30.8,"Kararmik Batakligi",0,0.0510464522715671,0,3.52220520673813,100
"121",-18500,39.0585,22.24997,"Lake Xinias",0,0.0675523530736321,0,0.247691961269984,10
"122",-18500,39.65,20.916,"Ioannina",0.45045045045045,0,0,14.8648648648649,50
"123",-18500,39.924722,4.027222,"Son Bou",0,0,0,4.0133779264214,100
"124",-18500,40.433889,29.533056,"Lake Iznik",0,0.120336943441637,0.120336943441637,0.36101083032491,10
"125",-18500,40.578333,-10.348333,"MD95-2039",0,0.346005961978291,0,0.49225453618279,50
