"","time","lat","long","datasetid","samples","taxa","variablename"
"115",-6500,-4.021156,137.216632,14941,0.143061516452074,"SheOak","Casuarina"
"116",-6500,-4.021156,137.216632,14941,21.6022889842632,"SouthernBeech","Nothofagus"
"117",-6000,-4.021156,137.216632,14941,0.182149362477231,"SheOak","Casuarina"
"118",-6000,-4.021156,137.216632,14941,41.5300546448087,"SouthernBeech","Nothofagus"
"119",-6000,-4.021156,137.216632,14941,4.37158469945355,"CeleryPine","Phyllocladus"
"120",-5500,-4.021156,137.216632,14941,0.688073394495413,"SheOak","Casuarina"
"121",-5500,-4.021156,137.216632,14941,19.954128440367,"SouthernBeech","Nothofagus"
"122",-5500,-4.021156,137.216632,14941,2.75229357798165,"CeleryPine","Phyllocladus"
"123",-5000,-4.021156,137.216632,14941,0.183150183150183,"SheOak","Casuarina"
"124",-5000,-4.021156,137.216632,14941,28.9377289377289,"SouthernBeech","Nothofagus"
"125",-5000,-4.021156,137.216632,14941,3.2967032967033,"CeleryPine","Phyllocladus"
"126",-4500,-4.021156,137.216632,14941,0.706713780918728,"SheOak","Casuarina"
"127",-4500,-4.021156,137.216632,14941,22.9681978798587,"SouthernBeech","Nothofagus"
"128",-4500,-4.021156,137.216632,14941,1.76678445229682,"CeleryPine","Phyllocladus"
"129",-4000,-4.021156,137.216632,14941,23.1192660550459,"SouthernBeech","Nothofagus"
"130",-4000,-4.021156,137.216632,14941,1.28440366972477,"CeleryPine","Phyllocladus"
"131",-3500,-4.021156,137.216632,14941,26.2626262626263,"SouthernBeech","Nothofagus"
"132",-3500,-4.021156,137.216632,14941,1.01010101010101,"CeleryPine","Phyllocladus"
"133",-3000,-4.021156,137.216632,14941,0.15600624024961,"SheOak","Casuarina"
"134",-3000,-4.021156,137.216632,14941,23.4155148953562,"SouthernBeech","Nothofagus"
"135",-3000,-4.021156,137.216632,14941,1.50822646324383,"CeleryPine","Phyllocladus"
"136",-2500,-4.021156,137.216632,14941,0.376647834274953,"SheOak","Casuarina"
"137",-2500,-4.021156,137.216632,14941,32.5800376647834,"SouthernBeech","Nothofagus"
"138",-2500,-4.021156,137.216632,14941,2.07156308851224,"CeleryPine","Phyllocladus"
